Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-11-05 05:00:00.000 +0100,Breezy,rain,6.0888888888888895,1.5722222222222213,0.76,29.0444,289.0,6.3434,0.0,1021.45,Overcast until night and breezy overnight.
2012-03-18 11:00:00.000 +0100,Breezy and Dry,rain,21.11111111111111,21.11111111111111,0.26,33.81,240.0,9.982,0.0,1021.6,Partly cloudy starting in the afternoon.
2006-03-13 07:00:00.000 +0100,Breezy and Foggy,snow,-2.1722222222222225,-10.044444444444443,0.9,37.4808,18.0,1.4651,0.0,1014.15,Breezy starting overnight continuing until afternoon and foggy starting in the morning continuing until evening.
2006-04-12 08:00:00.000 +0200,Breezy and Mostly Cloudy,rain,6.144444444444447,1.4944444444444431,0.93,30.863700000000005,349.0,10.5455,0.0,1004.1,Foggy overnight and breezy in the morning.
2006-08-31 10:00:00.000 +0200,Breezy and Overcast,rain,15.944444444444445,15.944444444444445,0.68,33.9066,289.0,11.27,0.0,1016.52,Mostly cloudy until night and breezy in the afternoon.
2006-08-21 00:00:00.000 +0200,Breezy and Partly Cloudy,rain,21.96666666666667,21.96666666666667,0.72,30.8315,310.0,15.826300000000002,0.0,1015.64,Mostly cloudy starting overnight.
2006-04-18 07:00:00.000 +0200,Clear,rain,8.68888888888889,8.68888888888889,0.93,1.4329,290.0,5.8443000000000005,0.0,1012.96,Partly cloudy until night.
2007-01-29 13:00:00.000 +0100,Dangerously Windy and Partly Cloudy,rain,8.944444444444445,3.4833333333333347,0.49,63.8526,307.0,11.4471,0.0,1009.05,Mostly cloudy throughout the day and windy starting in the morning continuing until evening.
2012-04-12 10:00:00.000 +0200,Drizzle,rain,14.716666666666667,14.716666666666667,0.59,24.794,248.0,11.109000000000002,0.0,1002.78,Light rain in the morning.
2007-07-20 10:00:00.000 +0200,Dry,rain,34.05555555555556,33.005555555555546,0.28,13.8138,179.0,9.982,0.0,1014.03,Partly cloudy starting in the afternoon continuing until evening.
2012-08-31 14:00:00.000 +0200,Dry and Mostly Cloudy,rain,33.67222222222223,31.38888888888889,0.17,19.8352,149.0,10.3523,0.0,1011.83,Partly cloudy throughout the day.
2007-04-23 13:00:00.000 +0200,Dry and Partly Cloudy,rain,20.07222222222222,20.07222222222222,0.17,2.8014,310.0,9.982,0.0,1025.13,Partly cloudy starting in the morning continuing until evening.
2006-04-11 18:00:00.000 +0200,Foggy,rain,10.911111111111113,10.911111111111113,0.86,22.395100000000006,311.0,2.6565,0.0,1004.61,Foggy in the evening.
2006-08-04 14:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.89444444444445,20.89444444444445,0.82,8.8711,342.0,11.3183,0.0,1005.05,Mostly cloudy until night.
2010-08-06 13:00:00.000 +0200,Humid and Overcast,rain,24.055555555555557,24.055555555555557,0.89,10.0786,170.0,6.1663000000000014,0.0,1008.56,Partly cloudy throughout the day.
2006-07-02 15:00:00.000 +0200,Humid and Partly Cloudy,rain,22.66111111111111,22.66111111111111,0.84,15.520400000000002,1.0,11.125100000000002,0.0,1017.99,Mostly cloudy throughout the day.
2012-04-12 09:00:00.000 +0200,Light Rain,rain,12.011111111111115,12.011111111111115,0.75,12.1716,230.0,11.109000000000002,0.0,1002.7,Light rain in the morning.
2006-04-01 02:00:00.000 +0200,Mostly Cloudy,rain,9.377777777777778,9.377777777777778,0.89,3.9284,204.0,14.9569,0.0,1015.94,Partly cloudy throughout the day.
2006-04-10 22:00:00.000 +0200,Overcast,rain,14.422222222222226,14.422222222222226,0.58,20.0123,159.0,15.826300000000002,0.0,1007.85,Mostly cloudy throughout the day.
2006-04-01 00:00:00.000 +0200,Partly Cloudy,rain,9.472222222222221,7.388888888888887,0.89,14.1197,251.0,15.826300000000002,0.0,1015.13,Partly cloudy throughout the day.
2016-10-21 23:00:00.000 +0200,Rain,rain,9.738888888888887,9.738888888888887,0.96,4.2826,286.0,4.652900000000002,0.0,1014.1,Rain throughout the day.
2008-01-28 02:00:00.000 +0100,Windy,rain,4.994444444444445,-0.8666666666666659,0.45,42.53620000000001,340.0,15.826300000000002,0.0,1019.01,Breezy starting overnight continuing until morning and partly cloudy starting in the morning.
2012-04-29 12:00:00.000 +0200,Windy and Dry,rain,27.222222222222218,26.344444444444452,0.24,40.25,150.0,9.982,0.0,1020.2,Partly cloudy starting in the morning continuing until night and breezy starting in the morning continuing until afternoon.
2006-07-08 18:00:00.000 +0200,Windy and Foggy,rain,19.633333333333336,19.633333333333336,0.76,45.9333,90.0,2.3506,0.0,1014.92,Partly cloudy starting in the afternoon continuing until night.
2007-02-01 13:00:00.000 +0100,Windy and Mostly Cloudy,rain,10.050000000000002,10.050000000000002,0.53,47.28570000000001,308.0,11.0768,0.0,1015.3,Partly cloudy starting overnight continuing until evening and breezy starting in the morning continuing until evening.
2006-03-12 23:00:00.000 +0100,Windy and Overcast,rain,0.5111111111111121,-7.116666666666666,0.66,45.530800000000006,20.0,11.9784,0.0,1012.71,Foggy in the morning and breezy starting in the afternoon continuing until night.
2006-03-29 17:00:00.000 +0200,Windy and Partly Cloudy,rain,12.1,12.1,0.57,41.699,279.0,11.4471,0.0,1008.47,Partly cloudy throughout the day and breezy starting in the morning continuing until night.
2006-12-13 02:00:00.000 +0100,Foggy,snow,-0.4833333333333339,-4.15,1.0,11.0929,219.0,0.483,0.0,1031.56,Foggy throughout the day.
2013-03-14 00:00:00.000 +0100,Overcast,rain,8.244444444444447,7.427777777777778,1.0,6.117999999999999,116.0,9.9015,0.0,996.64,Breezy and foggy starting in the evening.
2012-12-09 00:00:00.000 +0100,Breezy and Foggy,snow,-3.311111111111112,-10.922222222222222,0.91,31.330600000000004,0.0,1.8354,0.0,1013.0,Breezy and foggy until morning.
2007-11-11 00:00:00.000 +0100,Overcast,rain,3.8388888888888864,-0.4888888888888883,0.82,20.897800000000004,300.0,14.9569,0.0,1007.16,Breezy and mostly cloudy overnight.
2007-07-24 00:00:00.000 +0200,Clear,rain,23.86666666666666,23.86666666666666,0.45,10.851400000000002,160.0,15.826300000000002,0.0,1006.45,Breezy and partly cloudy in the afternoon.
2015-02-06 00:00:00.000 +0100,Overcast,rain,1.6666666666666667,-3.7722222222222217,0.78,25.1965,31.0,15.1823,0.0,1015.57,Breezy in the morning and foggy in the evening.
2015-01-05 00:00:00.000 +0100,Clear,rain,2.1222222222222222,-3.2500000000000013,0.7,25.76,310.0,0.0,0.0,0.0,Breezy in the morning and mostly cloudy starting in the evening.
2011-04-13 00:00:00.000 +0200,Windy,rain,12.17222222222222,12.17222222222222,0.57,41.1999,319.0,9.982,0.0,0.0,Breezy in the morning and mostly cloudy starting in the morning.
2011-08-27 00:00:00.000 +0200,Clear,rain,25.511111111111113,25.511111111111113,0.49,20.2377,160.0,15.826300000000002,0.0,1014.65,Breezy in the morning and partly cloudy starting in the evening continuing until night.
2013-11-20 00:00:00.000 +0100,Breezy and Mostly Cloudy,rain,8.794444444444443,4.427777777777777,0.71,39.1391,149.0,15.826300000000002,0.0,1007.25,Breezy overnight and mostly cloudy throughout the day.
2012-05-13 00:00:00.000 +0200,Windy and Mostly Cloudy,rain,15.555555555555555,15.555555555555555,0.72,40.25,320.0,9.982,0.0,1019.1,Breezy overnight and overcast throughout the day.
2013-03-19 00:00:00.000 +0100,Breezy and Partly Cloudy,rain,5.022222222222221,-0.6333333333333336,0.82,39.5255,142.0,15.8746,0.0,994.92,Breezy overnight and partly cloudy throughout the day.
2012-10-08 00:00:00.000 +0200,Breezy and Mostly Cloudy,rain,10.972222222222221,10.972222222222221,0.77,31.427200000000006,301.0,15.826300000000002,0.0,1013.75,Breezy overnight and partly cloudy until evening.
2015-02-08 00:00:00.000 +0100,Partly Cloudy,snow,-3.7111111111111112,-8.122222222222224,0.82,11.4149,250.0,9.9015,0.0,1018.3,Breezy starting in the afternoon continuing until evening and foggy in the evening.
2014-01-24 00:00:00.000 +0100,Overcast,rain,0.5500000000000012,-2.872222222222223,0.91,10.948,61.0,8.1305,0.0,1019.39,Breezy starting in the afternoon continuing until evening and foggy starting in the evening.
2012-08-26 00:00:00.000 +0200,Clear,rain,21.86666666666667,21.86666666666667,0.53,6.4239000000000015,31.0,15.826300000000002,0.0,1009.6,Breezy starting in the afternoon continuing until night and mostly cloudy starting in the evening.
