stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
136.0,March - M031990,Maharashtra,Nagpur,,Industrial Area,16.8,63.0,,353.0,,,1990-03-01
137.0,February - M021990,Maharashtra,Pune,,Industrial Area,22.9,71.9,,232.0,,,1990-02-01
138.0,March - M031990,Maharashtra,Pune,,"Residential, Rural and other Areas",8.6,32.3,,185.0,,,1990-03-01
139,17/01/2012,Uttar Pradesh,Gajraula,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",28.0,32.0,108.5,,"Indira Chowk, J.P. Nagar, Gajraula",,2012-01-17
139.0,April - M041990,Uttar Pradesh,Gajroula,,"Residential, Rural and other Areas",24.0,7.5,,216.0,,,1990-04-01
14,1/9/1987,West Bengal,Haldia,CMEC,Industrial,,56.3,,340.0,,,1987-09-01
140,16/01/2012,Uttar Pradesh,Gajraula,Uttar Pradesh State Pollution Control Board,Industrial Area,21.0,35.0,83.0,,"Raunaq Auto Ltd, J.P. Nagar, Gajraula",,2012-01-16
140.0,April - M041990,Uttar Pradesh,Gajroula,,Industrial Area,33.0,12.3,,240.0,,,1990-04-01
141,7/11/2013,Uttar Pradesh,Kanpur,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",9.0,17.0,115.0,,"Agriculture University, C.S. Azad Agriculatural University, Crop Physiological Departme",,2013-11-07
141.0,February - M021990,Uttar Pradesh,Kanpur,,"Residential, Rural and other Areas",4.2,7.1,,160.0,,,1990-02-01
142.0,February - M021990,Uttar Pradesh,Kanpur,,"Residential, Rural and other Areas",9.0,11.8,,469.0,,,1990-02-01
143.0,February - M021990,Uttar Pradesh,Kanpur,,Industrial Area,6.3,10.6,,320.0,,,1990-02-01
144,January - M011990,Delhi,Delhi,,"Residential, Rural and other Areas",34.2,52.1,,263.0,,,1990-01-01
145,January - M011990,Delhi,Delhi,,Industrial Area,21.7,36.0,,277.0,,,1990-01-01
146,January - M011990,Delhi,Delhi,,"Residential, Rural and other Areas",44.3,56.7,,393.0,,,1990-01-01
147.0,January - M011990,Kerala,Cochin,,"Residential, Rural and other Areas",8.3,11.6,,,,,1990-01-01
148.0,January - M011990,Kerala,Cochin,,"Residential, Rural and other Areas",7.7,7.8,,104.0,,,1990-01-01
149.0,January - M011990,Kerala,Cochin,,Industrial Area,9.8,6.4,,91.0,,,1990-01-01
15,1/3/1987,West Bengal,Haldia,CMEC,Industrial,97.9,108.9,,353.0,,,1987-03-01
150.0,February - M021990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",4.8,17.4,,,,,1990-02-01
151.0,February - M021990,Andhra Pradesh,Hyderabad,,Industrial Area,3.1,7.0,,,,,1990-02-01
152.0,February - M021990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.2,28.5,,,,,1990-02-01
153,February - M021990,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",17.2,6.5,,201.0,,,1990-02-01
154,February - M021990,Gujarat,Ahmedabad,,Industrial Area,41.8,8.0,,,,,1990-02-01
155,February - M021990,Gujarat,Ahmedabad,,"Residential, Rural and other Areas",52.4,12.1,,,,,1990-02-01
156.0,January - M011990,Rajasthan,Jaipur,,"Residential, Rural and other Areas",7.4,41.4,,403.0,,,1990-01-01
157.0,January - M011990,Rajasthan,Jaipur,,"Residential, Rural and other Areas",5.0,30.8,,265.0,,,1990-01-01
158.0,January - M011990,Rajasthan,Jaipur,,Industrial Area,5.5,21.0,,137.0,,,1990-01-01
159.0,January - M011990,Tamil Nadu,Madras,,"Residential, Rural and other Areas",20.8,31.2,,98.0,,,1990-01-01
16.0,1/2/1987,Rajasthan,Kota,Rajasthan Pollution Control Board,Residential,,,,77.0,,,1987-02-01
160.0,January - M011990,Tamil Nadu,Madras,,"Residential, Rural and other Areas",10.1,9.5,,88.0,,,1990-01-01
161.0,January - M011990,Tamil Nadu,Madras,,Industrial Area,20.6,17.0,,169.0,,,1990-01-01
162,April - M041990,West Bengal,Calcutta,,Industrial Area,24.1,26.7,,523.0,,,1990-04-01
163,April - M041990,West Bengal,Calcutta,,"Residential, Rural and other Areas",22.0,43.4,,372.0,,,1990-04-01
164,April - M041990,West Bengal,Calcutta,,"Residential, Rural and other Areas",14.7,16.2,,109.0,,,1990-04-01
165.0,January - M011990,Maharashtra,Nagpur,,Industrial Area,13.1,14.2,,190.0,,,1990-01-01
166.0,January - M011990,Maharashtra,Nagpur,,"Residential, Rural and other Areas",9.0,20.0,,362.0,,,1990-01-01
167.0,January - M011990,Maharashtra,Nagpur,,"Residential, Rural and other Areas",14.5,16.2,,,,,1990-01-01
168.0,March - M031990,Maharashtra,Bombay,,"Residential, Rural and other Areas",29.1,28.0,,286.0,,,1990-03-01
169.0,March - M031990,Maharashtra,Bombay,,"Residential, Rural and other Areas",24.9,55.9,,233.0,,,1990-03-01
17.0,1/1/1987,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial,,,,102.0,,,1987-01-01
170.0,January - M011990,Maharashtra,Bombay,,Industrial Area,105.0,49.7,,504.0,,,1990-01-01
171.0,August - M081990,Bihar,Jamshedpur,,Industrial Area,61.5,19.2,,107.0,,,1990-08-01
172.0,August - M081990,Bihar,Jamshedpur,,Industrial Area,18.4,13.4,,127.0,,,1990-08-01
173.0,August - M081990,Bihar,Jamshedpur,,"Residential, Rural and other Areas",72.6,32.4,,99.0,,,1990-08-01
174.0,August - M081990,Bihar,Jamshedpur,,"Residential, Rural and other Areas",82.2,50.1,,153.0,,,1990-08-01
175.0,July - M071990,Maharashtra,Pune,,Industrial Area,16.2,26.8,,195.0,,,1990-07-01
176.0,January - M011991,Punjab,Jalandhar,Punjab Pollution Control Board,,22.0,60.9,,84.0,,,1991-01-01
177.0,January - M011991,Punjab,Jalandhar,Punjab Pollution Control Board,,31.0,78.0,,111.0,,,1991-01-01
178.0,January - M011991,Punjab,Jalandhar,Punjab Pollution Control Board,,,,,81.0,,,1991-01-01
179.0,June - M061991,Kerala,Trivendrum,Kerala Pollution Control Board,,1.9,6.5,,103.0,,,1991-06-01
18.0,21-01-87,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,,,,42.0,,,1987-01-21
180.0,June - M061991,Kerala,Trivendrum,Kerala Pollution Control Board,,4.6,6.0,,112.0,,,1991-06-01
181.0,June - M061991,Kerala,Trivendrum,Kerala Pollution Control Board,,3.1,10.4,,74.0,,,1991-06-01
182.0,June - M061991,Kerala,Trivendrum,Kerala Pollution Control Board,,2.6,10.2,,86.0,,,1991-06-01
184,14-01-10,Jammu & Kashmir,Jammu,Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",9.0,17.0,85.0,,"Regional Office, Jammu",,2010-01-14
185.0,May - M051991,Kerala,Kozhikode,Kerala Pollution Control Board,,6.6,20.9,,121.0,,,1991-05-01
186.0,May - M051991,Kerala,Kozhikode,Kerala Pollution Control Board,,12.5,33.3,,277.0,,,1991-05-01
187.0,January - M011991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",,,,231.0,,,1991-01-01
188.0,April - M041991,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,4.8,60.4,,557.0,,,1991-04-01
189,March - M031991,Gujarat,Vapi,Gujarat Pollution Control Board,,17.4,20.1,,286.0,,,1991-03-01
19.0,1/1/1987,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial,,,,70.0,,,1987-01-01
190,March - M031991,Gujarat,Vapi,Gujarat Pollution Control Board,,36.2,22.6,,368.0,,,1991-03-01
191.0,April - M041991,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,,37.2,73.2,,1234.0,,,1991-04-01
192.0,January - M011991,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,,,,,,,,1991-01-01
193.0,January - M011991,Assam,Guwahati,ASPB,,14.0,22.6,,43.0,,,1991-01-01
194.0,January - M011991,Assam,Guwahati,ASPB,,8.0,17.3,,69.0,,,1991-01-01
195.0,January - M011991,Assam,Guwahati,ASPB,,13.6,7.5,,28.0,,,1991-01-01
196,January - M011991,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,,,,277.0,,,1991-01-01
198.0,March - M031991,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,Industrial Area,8.9,20.6,,172.0,,,1991-03-01
199.0,January - M011992,Madhya Pradesh,Jabalpur,Madhya Pradesh  Pollution Control Board,,5.3,57.4,,0.0,,,1992-01-01
2.0,1/9/1987,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Residential,14.8,,,373.0,,,1987-09-01
20.0,1/2/1987,Rajasthan,Kota,Rajasthan Pollution Control Board,Residential,,,,175.0,,,1987-02-01
200.0,January - M011992,Madhya Pradesh,Korba,Madhya Pradesh  Pollution Control Board,,14.6,11.6,,0.0,,,1992-01-01
20001.0,January - M011994,Tamil Nadu,Tuticorin,TNPC,Industrial Area,,8.0,,0.0,,,1994-01-01
20005.0,January - M011994,Tamil Nadu,Tuticorin,TNPC,Industrial Area,,7.2,,0.0,,,1994-01-01
20006.0,January - M011994,Tamil Nadu,Tuticorin,TNPC,Industrial Area,,5.5,,0.0,,,1994-01-01
201.0,January - M011992,Madhya Pradesh,Korba,Madhya Pradesh  Pollution Control Board,,10.2,5.9,,0.0,,,1992-01-01
202.0,January - M011992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,14.6,4.4,,190.0,,,1992-01-01
203.0,January - M011992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,35.8,12.5,,261.0,,,1992-01-01
205.0,September - M091991,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,,,,,194.0,,,1991-09-01
206.0,December - M121991,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,,8.2,5.4,,47.0,,,1991-12-01
207.0,December - M121991,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,,8.0,12.4,,44.0,,,1991-12-01
208.0,November - M111991,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,,16.8,13.6,,374.0,,,1991-11-01
209.0,May - M051991,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,,5.3,9.2,,436.0,,,1991-05-01
21,5/2/1987,Gujarat,Surat,Gujarat Pollution Control Board,Residential,6.7,6.9,,167.0,,,1987-02-05
210.0,April - M041991,Bihar,Patna,Bihar Pollution Control Board,,17.5,24.1,,256.0,,,1991-04-01
211.0,August - M081991,Bihar,Patna,Bihar Pollution Control Board,,18.7,26.4,,221.0,,,1991-08-01
212,1/2/2012,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7.34,45.15,184.18,,"Forest & Training Centre, Kidwai Nagar, Kanpur",,2012-02-01
212.0,January - M011993,Uttar Pradesh,Kanpur,Uttar Pradesh  Pollution Control Board,,21.4,17.7,,,,,1993-01-01
213.0,February - M021992,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,,14.8,45.0,,,,,1992-02-01
214.0,April - M041992,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,,12.5,38.4,,,,,1992-04-01
215.0,January - M011993,Uttar Pradesh,"Noida, Ghaziabad",Uttar Pradesh  Pollution Control Board,,,,,530.0,,,1993-01-01
216.0,January - M011994,Uttar Pradesh,"Noida, Ghaziabad",Uttar Pradesh  Pollution Control Board,,,,,591.0,,,1994-01-01
217.0,January - M011992,Assam,Guwahati,ASPB,,38.3,67.3,,160.0,,,1992-01-01
218.0,January - M011992,Assam,Guwahati,ASPB,,4.5,10.6,,33.0,,,1992-01-01
219.0,March - M031992,Rajasthan,Alwar,Rajasthan Pollution Control Board,,14.0,90.7,,192.0,,,1992-03-01
22,18-05-87,Gujarat,Surat,Gujarat Pollution Control Board,Industrial,7.9,8.9,,164.0,,,1987-05-18
220,May - M051992,Gujarat,Vapi,Gujarat Pollution Control Board,,35.2,23.8,,160.0,,,1992-05-01
221,August - M081992,Gujarat,Vapi,Gujarat Pollution Control Board,,,,,82.0,,,1992-08-01
222.0,October - M101992,Madhya Pradesh,Raipur,Madhya Pradesh  Pollution Control Board,,61.8,32.2,,176.0,,,1992-10-01
223.0,14-01-10,Chhattisgarh,Raipur,Chattisgarh Environment Conservation Board,Industrial Area,19.0,49.0,,,M/S Wool Worth India Pvt. Ltd. Sarora Raipur,,2010-01-14
224.0,January - M011993,Uttar Pradesh,Ghaziabad,Uttar Pradesh  Pollution Control Board,,,,,166.0,,,1993-01-01
225.0,January - M011993,Uttar Pradesh,Ghaziabad,Uttar Pradesh  Pollution Control Board,,,,,190.0,,,1993-01-01
226.0,January - M011992,Odisha,Rourkela,Orissa Pollution Control Board,,10.2,44.5,,308.0,,,1992-01-01
227.0,January - M011992,Odisha,Rourkela,Orissa Pollution Control Board,,7.6,29.1,,214.0,,,1992-01-01
228.0,September - M091992,Odisha,Rourkela,Orissa Pollution Control Board,,1.5,0.0,,0.0,,,1992-09-01
229.0,May - M051992,Odisha,Rourkela,Orissa Pollution Control Board,,24.0,29.7,,155.0,,,1992-05-01
23,5/5/1987,Gujarat,Surat,Gujarat Pollution Control Board,Residential,8.1,18.5,,580.0,,,1987-05-05
230.0,April - M041993,Maharashtra,Pune,Maharashtra Pollution Control Board,,25.7,36.7,,,,,1993-04-01
231.0,January - M011992,Odisha,Nalco,Orissa Pollution Control Board,,,,,339.0,,,1992-01-01
232.0,January - M011992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,,52.6,89.6,,679.0,,,1992-01-01
233.0,January - M011992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,,55.8,33.8,,245.0,,,1992-01-01
234.0,January - M011992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,,33.4,31.7,,320.0,,,1992-01-01
235.0,June - M061992,Dadra & Nagar Haveli,Daman,Central Pollution Control Board,,5.2,6.1,,75.0,,,1992-06-01
237.0,January_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,,6.0,16.0,,55.0,,,1995-01-01
238.0,February_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,,5.1,15.8,,78.0,,,1995-02-01
239.0,September - M091994,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,,3.7,17.8,,80.0,,,1994-09-01
240.0,September - M091994,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,,6.4,20.9,,68.0,,,1994-09-01
241.0,January - M011992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,,43.6,30.8,,334.0,,,1992-01-01
242.0,July - M071992,Assam,Guwahati,ASPB,,,,,8.0,,,1992-07-01
243.0,March - M031992,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,,14.5,119.9,,476.0,,,1992-03-01
244.0,May_1995,Punjab,Patiala,Punjab Pollution Control Board,,,,,,,,1995-05-01
245.0,1/2/2010,Chhattisgarh,Bhilai,Chattisgarh Environment Conservation Board,Industrial Area,14.0,32.0,169.0,,"M.P. Laghu Udyog Nigam, Bhilai",,2010-02-01
246,December - M121993,Goa,Panjim,Goa Pollution Control Board,,16.2,32.8,,,,,1993-12-01
246.0,1/1/2010,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",26.7,30.2,100.0,149.0,"Grasim Kalyan Kendra, Nagda",,2010-01-01
247,October - M101993,Gujarat,Bharuch,Gujarat Pollution Control Board,,5.7,6.9,,,,,1993-10-01
247.0,1/2/2004,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.2,10.2,35.0,60.0,"Government Nutan Subhash Higher Sec. School, T.T. Nagar, Bhopal",,2004-02-01
248,October - M101993,Gujarat,Bharuch,Gujarat Pollution Control Board,,1.7,49.7,,,,,1993-10-01
248.0,1/2/2004,Madhya Pradesh,Jabalpur,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,13.2,248.0,83.0,"Vijay Nagar, Jabalpur",,2004-02-01
249.0,October - M101993,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10.4,6.4,,,,,1993-10-01
250.0,June - M061993,Rajasthan,Alwar,Rajasthan Pollution Control Board,,37.4,76.5,,,,,1993-06-01
252,April - M041993,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,Industrial Area,26.4,13.8,,,,,1993-04-01
253,April - M041993,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17.8,22.7,,,,,1993-04-01
254.0,December - M121993,Maharashtra,Aurangabad,Maharashtra State Pollution Control Board,,7.8,13.7,,147.0,,,1993-12-01
255.0,December - M121993,Maharashtra,Aurangabad,Maharashtra State Pollution Control Board,,15.1,14.5,,123.0,,,1993-12-01
256,July - M071993,Gujarat,Rajkot,Gujarat State Pollution Control Board,Industrial Area,0.5,1.5,,,,,1993-07-01
257,August - M081993,Gujarat,Rajkot,Gujarat State Pollution Control Board,Industrial Area,14.7,5.4,,,,,1993-08-01
258,1/3/2012,Uttar Pradesh,Ghaziabad,Uttar Pradesh State Pollution Control Board,Industrial Area,31.0,42.0,246.0,,"M/s Atlas Cycles Industries Ltd, Sahibabad Industrial Area, Ghaziabad",,2012-03-01
258.0,February - M021993,Uttar Pradesh,Ghaziabad,Uttar Pradesh State Pollution Control Board,Industrial Area,,,,173.0,,,1993-02-01
259.0,July - M071994,Maharashtra,Nashik,"K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",14.3,25.7,,90.0,,,1994-07-01
260.0,January_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",1.1,2.7,,32.0,,,1995-01-01
261.0,January - M011996,Tamil Nadu,Coimbatore,TNPC,Industrial Area,0.0,0.2,,9.0,,,1996-01-01
263.0,February - M021994,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",4.6,17.7,,209.0,,,1994-02-01
264.0,June - M061994,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",1.4,18.1,,147.0,,,1994-06-01
265.0,January_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,,,,,,,1995-01-01
266.0,December - M121994,Maharashtra,Dombivli,MAPB,,54.5,21.0,,,,,1994-12-01
267.0,April - M041994,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13.9,34.6,,190.0,,,1994-04-01
268,January_1995,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",,,,169.0,,,1995-01-01
269.0,April - M041994,Maharashtra,Nashik,MAPB,Industrial Area,15.7,20.1,,393.0,,,1994-04-01
270.0,April - M041994,Maharashtra,Nashik,MAPB,,6.9,21.7,,90.0,,,1994-04-01
271,January_1995,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",,,,258.0,,,1995-01-01
272.0,January_1995,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",38.1,37.6,,372.0,,,1995-01-01
273.0,December - M121993,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",46.6,50.6,,,,,1993-12-01
274.0,January_1995,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,35.1,38.5,,339.0,,,1995-01-01
275,December - M121994,Haryana,Dharuhera,Haryana State Pollution Control Board,Industrial Area,37.8,32.1,,339.0,,,1994-12-01
276.0,June - M061994,Uttar Pradesh,Lucknow,UPPB,,23.5,22.5,,322.0,,,1994-06-01
277.0,June - M061994,Uttar Pradesh,Lucknow,UPPB,,22.5,21.1,,300.0,,,1994-06-01
278.0,January - M011994,Uttar Pradesh,Noida,UPPB,,,,,491.0,,,1994-01-01
279.0,August - M081994,Rajasthan,Alwar,RJPB,,17.6,69.2,,231.0,,,1994-08-01
280.0,June - M061996,Maharashtra,Nashik,"K.R.T.Arts,B.H.Commerce and A.M. Science College","Residential, Rural and other Areas",15.4,16.0,,190.0,,,1996-06-01
281.0,December - M121994,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,59.5,65.8,,80.0,,,1994-12-01
282.0,November - M111994,Maharashtra,Pune,ESPU,,8.1,8.5,,79.0,,,1994-11-01
283.0,December - M121994,Maharashtra,Pune,ESPU,,31.4,15.0,,204.0,,,1994-12-01
284.0,September_1995,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",37.8,39.6,,424.0,,,1995-09-01
287.0,January_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",12.9,20.4,,226.0,,,1995-01-01
288.0,January_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,Industrial Area,20.9,23.8,,152.0,,,1995-01-01
289.0,January_1995,Maharashtra,Nagpur,VRCE,"Residential, Rural and other Areas",17.2,21.6,,275.0,,,1995-01-01
29.0,10/3/1987,Kerala,Cochin,Kerala Pollution Control Board,Industrial,,2.9,,,,,1987-03-10
290.0,January - M011996,Maharashtra,Pune,ESPU,Industrial Area,42.6,49.3,,230.0,,,1996-01-01
291.0,May_1995,Rajasthan,Chittorgarh,RJPB,Industrial Area,,,,,,,1995-05-01
